Samplename,Genome,Domain,StudyName,Phylum,Class,Order,Family,Genus,Species,Ecosystem,Ecosystem.Category,Ecosystem.Subtype,Ecosystem.Type,Environment,Genome_size_assembled,Gene_Count_assembled,Assimilatory Nitrite to ammonia,Dissimilatory Nitrite to Ammonia,Assimilatory Nitrate to Nitrite,Nitrogen Fixation,Dissimilatory Nitrate to Nitrite,Nitrification,Partial_Nitrification,Denitrification,Partial_NO,Partial_N2O,Partial_N2
Corynebacterium pseudotuberculosis 226,2645727678,Bacteria,Corynebacterium pseudotuberculosis 226 Genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2337820,2224,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 262,2645727818,Bacteria,Corynebacterium pseudotuberculosis 262 Genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2325749,2148,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 29156,2636415463,Bacteria,Corynebacterium pseudotuberculosis strain:29156 genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2338645,2191,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis E19B9,2639762781,Bacteria,Corynebacterium pseudotuberculosis E19B9 Genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2367956,2199,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis E56,2687453413,Bacteria,Corynebacterium pseudotuberculosis E56 genome sequencing and assembly,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2335773,2182,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis MEX25,2687453358,Bacteria,Corynebacterium pseudotuberculosis MEX25 genome sequencing and assembly,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2337529,2183,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis MEX30,2718218062,Bacteria,Complete Genome Sequencing of Corynebacterium pseudotuberculosis MEX30,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2368140,2256,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis MEX31,2718218188,Bacteria,Complete Genome Sequencing of Corynebacterium pseudotuberculosis strain MEX31,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2367880,2208,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis N1,2684623084,Bacteria,Corynebacterium pseudotuberculosis N1,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2337845,2183,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis PA01,2675903590,Bacteria,Corynebacterium pseudotuberculosis strain:PA01 Genome sequencing and assembly,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2337920,2169,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis PO222/4-1,2671180251,Bacteria,Corynebacterium pseudotuberculosis PO222/4-1 genome sequencing and assembly,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2337508,2186,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis PO269-5,2675903328,Bacteria,Corynebacterium pseudotuberculosis PO222/4-1 genome sequencing and assembly,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2337124,2164,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis VD57,2634166441,Bacteria,Corynebacterium pseudotuberculosis strain:VD57 Genome sequencing,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2337177,2180,None,complete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis 48252,2588253763,Bacteria,"Corynebacterium pseudotuberculosis project- Oslo University Hospital , Norway",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2338139,2290,None,incomplete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis CS_10,2588253762,Bacteria,"Corynebacterium pseudotuberculosis project- Oslo University Hospital , Norway",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2338144,2295,None,incomplete,None,None,None,None,None,None,complete,None,None
Corynebacterium pseudotuberculosis Ft_2193/67,2588253761,Bacteria,"Corynebacterium pseudotuberculosis project- Oslo University Hospital , Norway",Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudotuberculosis,,,,,Uncategorized,2338300,2305,None,incomplete,None,None,None,None,None,None,complete,None,None
Propionibacterium sp. oral taxon 193 F0672,2718217930,Bacteria,Human oral bacterial isolates genome sequencing,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium sp. oral taxon 193,Host-associated,Human,Oral,Digestive system,Human Host,2649207,2595,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes ATCC 11828,2511231219,Bacteria,"Propionibacterium sequencing project -BAYGEN, Hungary",Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Host-associated,Human,Unclassified,Skin,Human Host,2488626,2310,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes KPA171202,637000215,Bacteria,Propionibacterium acnes KPA171202,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Host-associated,Human,Unclassified,Skin,Human Host,2560265,2385,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes SK137,646564561,Bacteria,Human Microbiome Project (HMP) Reference Genomes,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Host-associated,Human,Unclassified,Skin,Human Host,2495334,2408,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes 266,651053058,Bacteria,Propionibacterium acnes 266,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Host-associated,Human,Unclassified,Unclassified,Human Host,2494578,2402,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes 6609,651053059,Bacteria,"Propionibacterium sequencing project -BAYGEN, Hungary",Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Host-associated,Human,Unclassified,Unclassified,Human Host,2560282,2402,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes C1,2522572173,Bacteria,Propionibacterium acnes C1,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Host-associated,Human,Unclassified,Unclassified,Human Host,2519002,2412,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium simulans PES1,2687453511,Bacteria,Corynebacterium simulans PES1 Genome sequencing and assembly,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium simulans,,,,,Uncategorized,2737971,2628,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium simulans Wattiau,2687453286,Bacteria,Corynebacterium simulans Wattiau genome sequencing and assembly,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium simulans,,,,,Uncategorized,2598702,2469,None,None,None,None,complete,None,None,None,complete,None,None
Cutibacterium acnes AE1,2654587755,Bacteria,Propionibacterium acnes AE1 genome sequencing,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2399738,2284,None,None,None,None,complete,None,None,None,complete,None,None
Cutibacterium acnes KCOM 1861,2687453189,Bacteria,Genome sequencing of Propionibacterium acnes KCOM 1861,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2522438,2404,None,None,None,None,complete,None,None,None,complete,None,None
Cutibacterium acnes PA_12_1_L1,2660238308,Bacteria,Genome sequences of multiple Propionibacterium acnes strains,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2491961,2372,None,None,None,None,complete,None,None,None,complete,None,None
Cutibacterium acnes PA_12_1_R1,2660238400,Bacteria,Genome sequences of multiple Propionibacterium acnes strains,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2470017,2346,None,None,None,None,complete,None,None,None,complete,None,None
Cutibacterium acnes PA_15_1_R1,2687453256,Bacteria,Propionibacterium acnes strain:PA_15_1_R1 Genome sequencing and assembly,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2547961,2442,None,None,None,None,complete,None,None,None,complete,None,None
Cutibacterium acnes PA_15_2_L1,2657245502,Bacteria,Genome sequences of multiple Propionibacterium acnes strains,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2540008,2423,None,None,None,None,complete,None,None,None,complete,None,None
Cutibacterium acnes PA_21_1_L1,2663763063,Bacteria,Genome sequences of multiple Propionibacterium acnes strains,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2560354,2430,None,None,None,None,complete,None,None,None,complete,None,None
Cutibacterium acnes PA_30_2_L1,2667527539,Bacteria,Genome sequences of multiple Propionibacterium acnes strains,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2530708,2393,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes HL096PA1,2561511167,Bacteria,Propionibacterium acnes HL096PA1,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2549775,2382,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes TypeIA2 P.acn17,2511231125,Bacteria,"Propionibacterium sequencing project -BAYGEN, Hungary",Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2522885,2317,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes TypeIA2 P.acn31,2511231095,Bacteria,"Propionibacterium sequencing project -BAYGEN, Hungary",Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2498766,2298,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium acnes TypeIA2 P.acn33,2511231063,Bacteria,"Propionibacterium sequencing project -BAYGEN, Hungary",Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,,,,,Uncategorized,2489623,2287,None,None,None,None,complete,None,None,None,complete,None,None
Propionibacterium freudenreichii shermanii CIRM-BIA1,649633084,Bacteria,Propionibacterium freudenreichii shermanii CIRM-BIA1,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii,,,,,Uncategorized,2616384,2426,None,None,None,None,None,None,None,None,complete,None,None
Propionibacterium freudenreichii shermanii JS,2687453247,Bacteria,Propionibacterium freudenreichii ssp. shermanii JS genome,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium freudenreichii,,,,,Uncategorized,2675045,2396,None,None,None,None,incomplete,None,None,None,complete,None,None
"Xylanimonas cellulosilytica XIL07, DSM 15894",646311968,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Xylanimonas,Xylanimonas cellulosilytica,Host-associated,Plants,Unclassified,Unclassified,Plant host,3831380,3549,None,complete,complete,None,complete,None,None,None,complete,None,None
Acidothermus cellulolyticus 11B,639633001,Bacteria,Acidothermus cellulolyticus,Actinobacteria,Actinobacteria,Acidothermales,Acidothermaceae,Acidothermus,Acidothermus cellulolyticus,Environmental,Aquatic,Unclassified,Thermal springs,Aquatic Thermal springs,2443540,2229,complete,complete,complete,None,complete,None,None,None,complete,None,None
Micromonospora aurantiaca ATCC 27029,648028042,Bacteria,"CSP_787436, Micromonosporas",Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora aurantiaca,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,7025559,6360,None,complete,complete,None,complete,None,None,None,complete,None,None
Micromonospora sp. L5,649633069,Bacteria,"CSP_787436, Micromonosporas",Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Micromonospora,Micromonospora sp. L5,Host-associated,Plants,Unclassified,Rhizoplane,Plant host,6962533,6326,None,complete,complete,None,complete,None,None,None,complete,None,None
"Actinosynnema mirum 101, DSM 43827",644736323,Bacteria,A Genomic Encyclopedia of Bacteria and Archaea (GEBA),Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Actinosynnema,Actinosynnema mirum,Host-associated,Plants,Unclassified,Unclassified,Plant host,8248144,7176,None,complete,complete,None,complete,None,None,None,complete,None,None
Actinoplanes missouriensis NBRC 102363,2513237176,Bacteria,Actinoplanes missouriensis NBRC 102363,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Actinoplanes,Actinoplanes missouriensis,Environmental,Terrestrial,Unclassified,Soil,Terrestrial Soil,8773466,8202,None,complete,None,None,complete,None,None,None,complete,None,None
Gordonia sp. QH-11,2648501237,Bacteria,Gordonia sp. QH-11,Actinobacteria,Actinobacteria,Corynebacteriales,Gordoniaceae,Gordonia,Gordonia sp. QH-11,,,,,Uncategorized,4428727,4218,None,complete,None,None,complete,None,None,None,complete,None,None
Corynebacterium maris DSM 45190 Genome sequencing,2561511185,Bacteria,Corynebacterium maris DSM 45190,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium maris,Host-associated,Fungi,Unclassified,Unclassified,Fungi Host,2833547,2653,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium vitaeruminis DSM 20294 Genome sequencing,2558860221,Bacteria,Corynebacterium vitaeruminis DSM 20294,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium vitaeruminis,Host-associated,Mammals,Foregut,Digestive system,Mammal host,2931780,2645,None,None,None,None,complete,None,None,None,complete,None,None
Corynebacterium epidermidicanis DSM 45586 Genome Sequencing,2615840652,Bacteria,Corynebacterium Type Strain Sequencing and Analysis Project,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium epidermidicanis,Host-associated,Mammals,,Skin,Mammal host,2692072,2542,None,None,None,None,None,None,None,None,complete,None,None
Bifidobacterium actinocoloniiforme DSM 22766,2645727657,Bacteria,Bifidobacterium actinocoloniiforme DSM 22766 genome sequencing,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium actinocoloniiforme,,,,,Uncategorized,1830060,1542,None,None,None,None,None,None,None,None,complete,None,None
